6.4296,3.6518
7.0708,5.3893
20.27,21.767
5.4901,4.263
5.7107,3.2522
14.164,14.505
5.734,3.1551
13.394,9.0551
8.4084,7.2258
6.1891,3.1386
6.3654,5.3048
8.2934,2.14454
5.4369,2.61705
5.1301,1.56077
6.3261,5.1875
5.5649,3.0825
18.945,11.638
12.828,13.501
10.957,7.0467
13.176,14.692
22.203,24.147
5.2524,11.22
6.5894,5.9966
9.2482,12.134
5.8918,1.8495
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
5.6063,3.3928
12.836,10.117
6.3534,5.4974
5.4069,0.55657
6.8825,3.9115
11.708,5.3854
5.7737,2.4406
7.8247,6.7318
7.0931,1.0463
5.0702,5.1337
5.8014,1.844
11.7,8.0043
5.5416,1.0179
7.5402,6.7504
5.3077,1.8396
7.4239,4.2885
7.6031,4.9981
6.3328,1.4233
6.3589,1.4211
6.2742,2.4756
5.6397,4.6042
9.3102,3.9624
9.4536,5.4141
8.8254,5.1694
5.1793,10.74279
21.279,17.929
14.908,12.054
18.959,17.054
7.2182,4.8852
5.4994,1.0173
20.341,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
5.0269,1.6807
5.0365,5.7014
10.274,6.7526
5.1077,2.0576
9.7687,7.5435
6.5159,5.3436
5.0594,2.8214
5.7077,1.8451
7.6366,4.2959
5.8707,7.2029
5.3054,1.9869

